symb,xymd,open,high,low,clos,diff,rate,gvol
NAS@SOX,20230201,2935.93,3103.51,2935.93,3073.47,151.55,5.19,0
NAS@SOX,20230131,2859.96,2922.73,2859.17,2921.92,55.23,1.93,0
NAS@SOX,20230130,2903.6,2920.11,2865.02,2866.69,-78.58,-2.67,0
NAS@SOX,20230127,2906.95,2971.05,2905.77,2945.27,-21.33,-0.72,0
NAS@SOX,20230126,2954.4,2969.03,2905.3,2966.6,47.61,1.63,0
NAS@SOX,20230125,2859.56,2923.12,2840.06,2918.99,5.25,0.18,0
NAS@SOX,20230124,2900.4,2936.69,2897.45,2913.74,-21.09,-0.72,0
NAS@SOX,20230123,2822.14,2943.71,2818.44,2934.83,140.14,5.01,0
NAS@SOX,20230120,2734.22,2795.65,2710.17,2794.69,84.25,3.11,0
NAS@SOX,20230119,2762.86,2763.79,2704.29,2710.44,-79.03,-2.83,0
NAS@SOX,20230118,2837.42,2854.49,2788.35,2789.47,-18.01,-0.64,0
NAS@SOX,20230117,2791.37,2830.86,2780.49,2807.48,6.82,0.24,0
NAS@SOX,20230113,2763.01,2802.83,2753.91,2800.66,11.01,0.39,0
NAS@SOX,20230112,2770.01,2807.67,2714.75,2789.65,34.29,1.24,0
NAS@SOX,20230111,2720.84,2756.49,2700.3,2755.36,34.07,1.25,0
NAS@SOX,20230110,2674.53,2722.1,2663.4,2721.29,34.54,1.29,0
NAS@SOX,20230109,2683.13,2745.85,2667.84,2686.75,50.65,1.92,0
NAS@SOX,20230106,2553.4,2649.38,2519.18,2636.1,117.58,4.67,0
NAS@SOX,20230105,2538.46,2556.3,2517.15,2518.52,-50.94,-1.98,0
NAS@SOX,20230104,2552.35,2582.27,2523.39,2569.46,68.47,2.74,0
NAS@SOX,20230103,2574.68,2574.68,2489.28,2500.99,-31.12,-1.23,0
NAS@SOX,20221230,2492.73,2533.97,2479.02,2532.11,-2.84,-0.11,0
NAS@SOX,20221229,2493.51,2543.23,2485.02,2534.95,81.46,3.32,0
NAS@SOX,20221228,2474.64,2504.44,2445.2,2453.49,-36.68,-1.47,0
NAS@SOX,20221227,2515.82,2518.84,2482.24,2490.17,-45.32,-1.79,0
NAS@SOX,20221223,2513.39,2536.82,2490.76,2535.49,2.16,0.09,0
NAS@SOX,20221222,2589.1,2589.1,2482.45,2533.33,-111.17,-4.2,0
NAS@SOX,20221221,2601.79,2652.19,2600.23,2644.5,60.86,2.36,0
NAS@SOX,20221220,2568.29,2607.87,2565.51,2583.64,-16.22,-0.62,0
NAS@SOX,20221219,2634.51,2638.37,2576.37,2599.86,-36.24,-1.37,0
NAS@SOX,20221216,2646.28,2669.98,2612.44,2636.1,-25.3,-0.95,0
NAS@SOX,20221215,2728.69,2731.91,2657.78,2661.4,-115.87,-4.17,0
NAS@SOX,20221214,2818.63,2849.44,2751.24,2777.27,-44.26,-1.57,0
NAS@SOX,20221213,2899.0,2913.12,2788.94,2821.53,42.32,1.52,0
NAS@SOX,20221212,2710.1,2779.48,2699.48,2779.21,58.19,2.14,0
NAS@SOX,20221209,2735.09,2771.88,2715.92,2721.02,-23.71,-0.86,0
NAS@SOX,20221208,2684.94,2749.11,2668.27,2744.73,71.48,2.67,0
NAS@SOX,20221207,2645.47,2689.0,2645.47,2673.25,-0.28,-0.01,0
NAS@SOX,20221206,2732.86,2736.56,2650.6,2673.53,-64.52,-2.36,0
NAS@SOX,20221205,2756.41,2777.24,2713.1,2738.05,-33.19,-1.2,0
NAS@SOX,20221202,2729.75,2777.49,2723.35,2771.24,-33.45,-1.19,0
NAS@SOX,20221201,2833.45,2841.86,2770.98,2804.69,-22.16,-0.78,0
NAS@SOX,20221130,2678.56,2827.7,2655.06,2826.85,156.2,5.85,0
NAS@SOX,20221129,2685.02,2704.7,2656.63,2670.65,-8.13,-0.3,0
NAS@SOX,20221128,2714.36,2744.64,2664.56,2678.78,-72.49,-2.63,0
NAS@SOX,20221125,2766.6,2780.5,2751.27,2751.27,-35.15,-1.26,0
NAS@SOX,20221123,2756.65,2814.87,2756.36,2786.42,29.6,1.07,0
NAS@SOX,20221122,2702.03,2757.71,2677.31,2756.82,80.99,3.03,0
NAS@SOX,20221121,2684.28,2696.7,2669.35,2675.83,-48.2,-1.77,0
NAS@SOX,20221118,2759.84,2760.0,2693.37,2724.03,4.93,0.18,0
NAS@SOX,20221117,2633.85,2728.0,2633.85,2719.1,28.29,1.05,0
NAS@SOX,20221116,2735.46,2747.84,2677.32,2690.81,-119.8,-4.26,0
NAS@SOX,20221115,2833.48,2848.68,2771.71,2810.61,82.56,3.03,0
NAS@SOX,20221114,2742.16,2779.49,2725.77,2728.05,-26.85,-0.97,0
NAS@SOX,20221111,2677.59,2769.44,2655.19,2754.9,82.4,3.08,0
NAS@SOX,20221110,2568.22,2675.83,2539.73,2672.5,247.68,10.21,0
NAS@SOX,20221109,2466.0,2472.61,2423.96,2424.82,-78.57,-3.14,0
NAS@SOX,20221108,2501.21,2535.55,2454.24,2503.39,52.77,2.15,0
NAS@SOX,20221107,2413.17,2457.77,2386.65,2450.62,52.38,2.18,0
NAS@SOX,20221104,2383.71,2401.23,2339.89,2398.24,105.39,4.6,0
NAS@SOX,20221103,2283.33,2330.95,2259.87,2292.85,-35.62,-1.53,0
NAS@SOX,20221102,2420.58,2462.14,2327.74,2328.47,-74.28,-3.09,0
NAS@SOX,20221101,2436.66,2439.44,2390.27,2402.75,18.3,0.77,0
NAS@SOX,20221031,2409.44,2415.97,2371.58,2384.45,-49.21,-2.02,0
NAS@SOX,20221028,2347.37,2436.65,2338.03,2433.66,93.06,3.98,0
NAS@SOX,20221027,2419.08,2430.78,2338.38,2340.6,-35.73,-1.5,0
NAS@SOX,20221026,2351.15,2433.65,2343.69,2376.33,-28.36,-1.18,0
NAS@SOX,20221025,2359.44,2420.48,2359.44,2404.69,53.14,2.26,0
NAS@SOX,20221024,2343.5,2360.46,2294.31,2351.55,14.86,0.64,0
NAS@SOX,20221021,2253.37,2339.9,2238.12,2336.69,83.47,3.7,0
NAS@SOX,20221020,2251.13,2320.91,2240.91,2253.22,15.48,0.69,0
NAS@SOX,20221019,2209.63,2258.75,2200.9,2237.74,16.78,0.76,0
NAS@SOX,20221018,2288.77,2296.47,2183.17,2220.96,9.3,0.42,0
NAS@SOX,20221017,2232.55,2241.59,2194.4,2211.66,49.34,2.28,0
NAS@SOX,20221014,2281.68,2286.95,2158.8,2162.32,-100.92,-4.46,0
NAS@SOX,20221013,2103.7,2299.67,2089.82,2263.24,64.64,2.94,0
NAS@SOX,20221012,2218.44,2224.79,2190.11,2198.6,-19.89,-0.9,0
NAS@SOX,20221011,2233.04,2262.25,2188.94,2218.49,-56.85,-2.5,0
NAS@SOX,20221010,2346.79,2347.22,2247.56,2275.34,-81.41,-3.45,0
NAS@SOX,20221007,2428.21,2440.09,2344.92,2356.75,-152.09,-6.06,0
NAS@SOX,20221006,2520.2,2563.28,2502.9,2508.84,-14.77,-0.59,0
NAS@SOX,20221005,2458.01,2543.89,2435.16,2523.61,23.5,0.94,0
NAS@SOX,20221004,2472.21,2503.69,2460.49,2500.11,106.79,4.46,0
NAS@SOX,20221003,2343.08,2415.64,2321.19,2393.32,86.62,3.76,0
NAS@SOX,20220930,2324.61,2380.69,2306.65,2306.7,-40.66,-1.73,0
NAS@SOX,20220929,2385.53,2386.12,2313.08,2347.36,-79.9,-3.29,0
NAS@SOX,20220928,2376.19,2437.36,2369.23,2427.26,29.22,1.22,0
NAS@SOX,20220927,2422.77,2435.31,2362.58,2398.04,24.57,1.04,0
NAS@SOX,20220926,2407.71,2439.93,2372.19,2373.47,-35.42,-1.47,0
NAS@SOX,20220923,2417.72,2423.12,2369.46,2408.89,-35.36,-1.45,0
NAS@SOX,20220922,2500.12,2507.98,2431.79,2444.25,-70.71,-2.81,0
NAS@SOX,20220921,2545.01,2625.46,2514.46,2514.96,-24.54,-0.97,0
NAS@SOX,20220920,2557.01,2563.49,2522.99,2539.5,-38.44,-1.49,0
NAS@SOX,20220919,2533.6,2586.9,2533.37,2577.94,14.8,0.58,0
NAS@SOX,20220916,2524.71,2565.42,2504.87,2563.14,13.6,0.53,0
NAS@SOX,20220915,2570.38,2601.12,2530.53,2549.54,-41.97,-1.62,0
NAS@SOX,20220914,2583.09,2607.39,2554.0,2591.51,29.24,1.14,0
NAS@SOX,20220913,2626.29,2647.98,2555.97,2562.27,-168.82,-6.18,0
NAS@SOX,20220912,2725.44,2745.49,2701.52,2731.09,9.32,0.34,0
NAS@SOX,20220909,2693.28,2732.52,2693.07,2721.77,63.59,2.39,0
NAS@SOX,20220908,2579.78,2664.21,2571.13,2658.18,46.68,1.79,0
NAS@SOX,20220907,2578.75,2631.41,2560.45,2611.5,40.03,1.56,0
NAS@SOX,20220906,2596.12,2612.27,2550.99,2571.47,-27.79,-1.07,0
NAS@SOX,20220902,2670.33,2686.02,2587.9,2599.26,-26.69,-1.02,0
NAS@SOX,20220901,2608.23,2629.23,2548.17,2625.95,-51.44,-1.92,0
NAS@SOX,20220831,2711.84,2718.13,2656.97,2677.39,-31.24,-1.15,0
NAS@SOX,20220830,2770.04,2770.04,2678.77,2708.63,-35.87,-1.31,0
NAS@SOX,20220829,2776.53,2801.59,2741.2,2744.5,-53.94,-1.93,0
NAS@SOX,20220826,2958.48,2966.52,2797.59,2798.44,-172.63,-5.81,0
